Exch,ExchType,Token,LastRate,LastQty,TotalQty,High,Low,OpenRate,PClose,AvgRate,Time,BidQty,BidRate,OffQty,OffRate,TBidQ,TOffQ,TickDt,ChgPcnt
N,C,1333,1761.15,5061,2125078,1761.15,1746.75,1750,1743.85,1753.88,13299,22,1760.75,734,1761.15,250812,384725,/Date(1738901499000)/,0.99205786
N,C,1333,1760.75,5061,2125078,1761.15,1746.75,1750,1743.85,1753.88,13299,22,1760.75,734,1761.15,250812,384725,/Date(1738901499000)/,0.96912
B,C,500180,1760.75,74,35992,1760.75,1747.5,1750.55,1744.7,1754.73,13299,226,1760.75,5,1760.9,81225,89459,/Date(1738901499000)/,0.919928968
N,C,11536,4029.5,376,246965,4090,4028.3,4090,4082.75,4049.45,13299,955,4029.05,20,4029.5,78158,94002,/Date(1738901499000)/,-1.304268
B,C,500112,744.05,1,248235,761.8,740.55,761.8,752.35,744.74,13299,6,743.85,398,744.05,181778,232672,/Date(1738901499000)/,-1.10321
N,C,3045,743.65,145,5496918,759.9,740.8,759.8,752.25,745.31,13299,2400,743.65,22,743.7,1019383,1372910,/Date(1738901499000)/,-1.14323688
N,C,11483,3350,177,101905,3369.95,3346.05,3367,3352.75,3354.85,13299,20,3349.9,129,3350,94325,105289,/Date(1738901499000)/,-0.08202222
B,C,500510,3348.75,27,6095,3397.85,3346.7,3397.85,3352.9,3357.05,13299,14,3348.75,8,3350.6,21651,28815,/Date(1738901499000)/,-0.123773448
N,C,1333,1761.1,1272,2126350,1761.15,1746.75,1750,1743.85,1753.89,13300,411,1760.8,835,1761.1,251130,386887,/Date(1738901500000)/,0.9891906
B,C,500180,1760.75,30,36022,1760.75,1747.5,1750.55,1744.7,1754.74,13300,196,1760.75,5,1760.9,85027,84055,/Date(1738901500000)/,0.919928968
N,C,3045,743.7,227,5497145,759.9,740.8,759.8,752.25,745.31,13300,2388,743.65,2,743.7,1022600,1375039,/Date(1738901500000)/,-1.13659024
B,C,500112,744,3,248238,761.8,740.55,761.8,752.35,744.74,13300,6,743.85,2,744,184818,232953,/Date(1738901500000)/,-1.10985577
B,C,500325,1273.45,16,50671,1284.75,1266.45,1266.45,1281.55,1272.1,13301,3,1273.45,82,1274,129173,129102,/Date(1738901501000)/,-0.6320471
N,C,11483,3350,331,102236,3369.95,3346.05,3367,3352.75,3354.83,13301,20,3349.9,33,3350,94968,104956,/Date(1738901501000)/,-0.08202222
N,C,1333,1760.85,982,2127332,1761.15,1746.75,1750,1743.85,1753.89,13301,118,1760.85,31,1761.1,251571,384621,/Date(1738901501000)/,0.974854469
N,C,1594,1898.15,498,735877,1923.7,1895.95,1919.3,1915.65,1906.66,13301,795,1898.15,355,1898.4,142096,196525,/Date(1738901501000)/,-0.9135281
N,C,3045,743.7,197,5497342,759.9,740.8,759.8,752.25,745.31,13301,2893,743.65,13,743.7,1020444,1379068,/Date(1738901501000)/,-1.13659024
B,C,500180,1760.9,5,36027,1760.9,1747.5,1750.55,1744.7,1754.74,13301,196,1760.75,15,1760.95,85027,89113,/Date(1738901501000)/,0.9285264
B,C,500112,744.05,48,248286,761.8,740.55,761.8,752.35,744.74,13302,116,743.7,326,744.05,182563,232721,/Date(1738901502000)/,-1.10321
N,C,1594,1898.15,8,735885,1923.7,1895.95,1919.3,1915.65,1906.66,13302,804,1898.15,508,1898.4,140889,197459,/Date(1738901502000)/,-0.9135281
N,C,3045,743.7,87,5497429,759.9,740.8,759.8,752.25,745.31,13302,2793,743.65,32,743.7,1021432,1378411,/Date(1738901502000)/,-1.13659024
N,C,4963,1270.85,4943,621441,1275,1268,1272,1272.4,1270.79,13303,31,1270.85,118,1271.4,271997,313094,/Date(1738901503000)/,-0.121817037
N,C,1333,1760.9,294,2127626,1761.15,1746.75,1750,1743.85,1753.89,13303,31,1760.9,72,1761,251802,386086,/Date(1738901503000)/,0.9777217
N,C,5900,1017.85,3,243754,1024.45,1014.55,1019.5,1020.7,1017.74,13302,260,1017.85,251,1017.9,275435,297509,/Date(1738901502000)/,-0.279220134
N,C,11483,3349.9,155,102391,3369.95,3346.05,3367,3352.75,3354.83,13303,8,3349.9,110,3350,93615,105339,/Date(1738901503000)/,-0.0850048438
B,C,500112,743.7,10,248296,761.8,740.55,761.8,752.35,744.74,13302,180,744,53,744.05,182355,232433,/Date(1738901502000)/,-1.1497308
B,C,500696,2353,1,7008,2382.95,2350.15,2382.95,2373.5,2355.89,13303,1,2351.25,98,2352.95,27709,30310,/Date(1738901503000)/,-0.8637034
N,C,1594,1898.15,25,735910,1923.7,1895.95,1919.3,1915.65,1906.66,13303,804,1898.15,644,1898.4,143314,196327,/Date(1738901503000)/,-0.9135281
N,C,3045,743.7,160,5497589,759.9,740.8,759.8,752.25,745.31,13303,164,743.7,1287,743.9,1019252,1376739,/Date(1738901503000)/,-1.13659024
N,C,2885,1273.8,974,1404706,1283.7,1269.4,1276.15,1281.55,1273.86,13303,34,1273.8,35,1273.95,355291,515879,/Date(1738901503000)/,-0.604736447
N,C,1333,1761,1071,2128697,1761.15,1746.75,1750,1743.85,1753.9,13303,3,1760.9,220,1761,250983,386565,/Date(1738901503000)/,0.983456135
N,C,11483,3349.9,54,102445,3369.95,3346.05,3367,3352.75,3354.82,13303,8,3349.9,149,3350,94966,105380,/Date(1738901503000)/,-0.0850048438
B,C,500325,1274.1,1,50672,1284.75,1266.45,1266.45,1281.55,1272.1,13304,69,1273.6,59,1274.1,130499,128374,/Date(1738901504000)/,-0.5813273
B,C,500112,744.1,4,248300,761.8,740.55,761.8,752.35,744.74,13304,180,744,302,744.1,182512,232640,/Date(1738901504000)/,-1.096564
N,C,1594,1898.4,800,736710,1923.7,1895.95,1919.3,1915.65,1906.65,13304,804,1898.15,41,1898.4,143562,196177,/Date(1738901504000)/,-0.900477648
N,C,1394,2351.2,22,103306,2381.95,2350,2380,2372.7,2355.96,13303,182,2351.5,7,2352.1,88148,71404,/Date(1738901503000)/,-0.906140745
N,C,3045,743.7,443,5498032,759.9,740.8,759.8,752.25,745.31,13304,2644,743.65,49,743.7,1021895,1378626,/Date(1738901504000)/,-1.13659024
B,C,500112,744,180,248480,761.8,740.55,761.8,752.35,744.74,13304,106,743.7,357,744.05,181938,231808,/Date(1738901504000)/,-1.10985577
N,C,1333,1760.9,601,2129298,1761.15,1746.75,1750,1743.85,1753.9,13304,9,1760.9,38,1761,251357,387114,/Date(1738901504000)/,0.9777217
N,C,11483,3350,199,102644,3369.95,3346.05,3367,3352.75,3354.82,13304,8,3349.9,80,3350,95144,105272,/Date(1738901504000)/,-0.08202222
B,C,500180,1760.75,65,36092,1760.9,1747.5,1750.55,1744.7,1754.75,13305,131,1760.75,15,1760.95,84254,89700,/Date(1738901505000)/,0.919928968
B,C,500325,1274.1,7,50679,1284.75,1266.45,1266.45,1281.55,1272.1,13305,69,1273.6,52,1274.1,129966,128525,/Date(1738901505000)/,-0.5813273
N,C,3045,743.9,393,5498425,759.9,740.8,759.8,752.25,745.31,13306,2692,743.65,1320,743.9,1019575,1376360,/Date(1738901506000)/,-1.11000335
B,C,500112,744.1,1,248481,761.8,740.55,761.8,752.35,744.74,13305,106,743.7,278,744.05,181242,232870,/Date(1738901505000)/,-1.096564
B,C,500696,2351.25,1,7009,2382.95,2350.15,2382.95,2373.5,2355.89,13305,6,2351.15,98,2352.95,28201,29567,/Date(1738901505000)/,-0.9374342
B,C,500180,1760.95,1,36093,1760.95,1747.5,1750.55,1744.7,1754.75,13306,131,1760.75,14,1760.95,84254,89728,/Date(1738901506000)/,0.931392252
N,C,1333,1760.9,518,2129816,1761.15,1746.75,1750,1743.85,1753.9,13306,118,1760.9,80,1761,252148,387078,/Date(1738901506000)/,0.9777217
N,C,5900,1017.9,26,243780,1024.45,1014.55,1019.5,1020.7,1017.74,13305,260,1017.85,261,1017.9,275855,297592,/Date(1738901505000)/,-0.274321556
N,C,11536,4029.5,261,247226,4090,4028.3,4090,4082.75,4049.43,13305,915,4029.05,5,4029.5,77922,94226,/Date(1738901505000)/,-1.304268
N,C,1594,1899,782,737492,1923.7,1895.95,1919.3,1915.65,1906.64,13306,22,1898.15,120,1898.4,142250,198425,/Date(1738901506000)/,-0.8691567
N,C,3045,743.9,118,5498543,759.9,740.8,759.8,752.25,745.31,13307,50,743.7,787,743.9,1019217,1376645,/Date(1738901507000)/,-1.11000335
N,C,1333,1761.1,380,2130196,1761.15,1746.75,1750,1743.85,1753.9,13307,1,1761.1,404,1761.15,252983,384825,/Date(1738901507000)/,0.9891906
B,C,500112,744.1,1,248482,761.8,740.55,761.8,752.35,744.74,13306,293,743.7,300,744.1,183303,232767,/Date(1738901506000)/,-1.096564
N,C,5900,1017.85,48,243828,1024.45,1014.55,1019.5,1020.7,1017.74,13307,212,1017.85,261,1017.9,274072,297606,/Date(1738901507000)/,-0.279220134
N,C,11483,3349.9,1,102645,3369.95,3346.05,3367,3352.75,3354.82,13306,7,3349.9,165,3350,94992,103854,/Date(1738901506000)/,-0.0850048438
B,C,532174,1271.5,35,7535,1273.35,1268.25,1272.6,1272.65,1270.33,13307,91,1270.5,59,1271.5,76760,79042,/Date(1738901507000)/,-0.09036262
B,C,500112,744.1,5,248487,761.8,740.55,761.8,752.35,744.74,13307,293,743.7,295,744.1,183310,232762,/Date(1738901507000)/,-1.096564
B,C,500696,2352.95,1,7010,2382.95,2350.15,2382.95,2373.5,2355.89,13307,10,2351.1,53,2352.9,27722,29540,/Date(1738901507000)/,-0.86581
N,C,1594,1898.2,74,737566,1923.7,1895.95,1919.3,1915.65,1906.64,13307,326,1898.2,125,1898.4,142167,198448,/Date(1738901507000)/,-0.910917938
N,C,3045,743.9,711,5499254,759.9,740.8,759.8,752.25,745.31,13307,375,743.7,414,743.9,1021982,1376774,/Date(1738901507000)/,-1.11000335
N,C,1333,1761.15,19,2130215,1761.15,1746.75,1750,1743.85,1753.9,13308,2,1761.1,399,1761.15,253511,385910,/Date(1738901508000)/,0.99205786
N,C,11483,3349.9,33,102678,3369.95,3346.05,3367,3352.75,3354.81,13308,2,3349.9,165,3350,95130,103854,/Date(1738901508000)/,-0.0850048438
N,C,1594,1898.4,560,738126,1923.7,1895.95,1919.3,1915.65,1906.64,13308,177,1898.4,77,1898.65,141201,196565,/Date(1738901508000)/,-0.900477648
B,C,532215,1018.1,5,5809,1023,1015,1020.55,1020.55,1017.84,13308,61,1017.55,44,1018.1,78587,77597,/Date(1738901508000)/,-0.240066618
N,C,3045,743.9,316,5499570,759.9,740.8,759.8,752.25,745.31,13308,381,743.7,146,743.9,1022677,1376430,/Date(1738901508000)/,-1.11000335
B,C,500696,2352.9,1,7011,2382.95,2350.15,2382.95,2373.5,2355.89,13308,10,2351.1,44,2352.85,27747,29937,/Date(1738901508000)/,-0.8679165
N,C,1333,1761.15,138,2130353,1761.15,1746.75,1750,1743.85,1753.9,13309,7,1761.1,268,1761.15,254128,386906,/Date(1738901509000)/,0.99205786
B,C,532174,1270.65,16,7551,1273.35,1268.25,1272.6,1272.65,1270.33,13309,42,1270.55,87,1271,77084,73828,/Date(1738901509000)/,-0.1571524
N,C,1594,1898.7,684,738810,1923.7,1895.95,1919.3,1915.65,1906.63,13309,10,1898.4,22,1898.7,139597,198174,/Date(1738901509000)/,-0.8848172
N,C,3045,743.9,667,5500237,759.9,740.8,759.8,752.25,745.31,13309,766,743.75,62,743.9,1024135,1378280,/Date(1738901509000)/,-1.11000335
N,C,4963,1271.3,1177,622618,1275,1268,1272,1272.4,1270.79,13309,56,1270.8,15,1271.25,277870,315062,/Date(1738901509000)/,-0.0864508
N,C,1333,1761.15,651,2131004,1761.15,1746.75,1750,1743.85,1753.9,13309,9,1761.1,284,1761.15,253249,386335,/Date(1738901509000)/,0.99205786
N,C,11483,3349.75,45,102723,3369.95,3346.05,3367,3352.75,3354.81,13310,23,3349.75,4,3349.9,95124,103880,/Date(1738901510000)/,-0.08947878
B,C,500209,1898.8,1,17234,1921,1880.2,1880.2,1915.95,1900.54,13309,12,1897.45,40,1898.75,48826,66202,/Date(1738901509000)/,-0.895117342
N,C,1594,1898.4,10,738820,1923.7,1895.95,1919.3,1915.65,1906.63,13309,243,1898.1,187,1898.55,138213,199149,/Date(1738901509000)/,-0.900477648
B,C,500180,1760.75,2,36095,1760.95,1747.5,1750.55,1744.7,1754.75,13310,129,1760.75,19,1760.95,78923,85198,/Date(1738901510000)/,0.919928968
N,C,3045,743.9,818,5501055,759.9,740.8,759.8,752.25,745.31,13310,623,743.75,3,743.9,1024162,1377922,/Date(1738901510000)/,-1.11000335
N,C,2885,1274,310,1405016,1283.7,1269.4,1276.15,1281.55,1273.86,13309,28,1273.8,7,1273.95,350861,515105,/Date(1738901509000)/,-0.589130342
B,C,500209,1898.55,40,17274,1921,1880.2,1880.2,1915.95,1900.54,13310,11,1897.45,65,1898.4,49098,68278,/Date(1738901510000)/,-0.9081657
B,C,500112,744.1,1,248488,761.8,740.55,761.8,752.35,744.74,13310,273,743.75,16,744.1,181308,232742,/Date(1738901510000)/,-1.096564
N,C,1333,1761.15,58,2131062,1761.15,1746.75,1750,1743.85,1753.9,13311,10,1761.1,241,1761.15,252995,385031,/Date(1738901511000)/,0.99205786
B,C,500180,1761,162,36257,1761,1747.5,1750.55,1744.7,1754.78,13311,154,1760.75,37,1761.25,79669,85531,/Date(1738901511000)/,0.934258
N,C,11483,3349.75,6,102729,3369.95,3346.05,3367,3352.75,3354.81,13311,17,3349.75,5,3349.9,94997,105246,/Date(1738901511000)/,-0.08947878
N,C,1394,2351.85,225,103531,2381.95,2350,2380,2372.7,2355.95,13307,99,2351,23,2351.85,88984,70475,/Date(1738901507000)/,-0.8787457
N,C,1594,1898,248,739068,1923.7,1895.95,1919.3,1915.65,1906.63,13311,1,1898.15,13,1898.3,138820,199414,/Date(1738901511000)/,-0.9213583
N,C,5900,1017.85,3,243831,1024.45,1014.55,1019.5,1020.7,1017.74,13310,219,1017.85,271,1017.9,274410,297630,/Date(1738901510000)/,-0.279220134
N,C,3045,744,337,5501392,759.9,740.8,759.8,752.25,745.31,13311,420,743.9,1298,744,1024788,1379479,/Date(1738901511000)/,-1.09671
N,C,1333,1761.1,450,2131512,1761.15,1746.75,1750,1743.85,1753.91,13312,445,1761.1,41,1761.15,253491,385425,/Date(1738901512000)/,0.9891906
B,C,500112,744.1,13,248501,761.8,740.55,761.8,752.35,744.74,13312,808,743.75,3,744.1,184048,232917,/Date(1738901512000)/,-1.096564
N,C,11483,3349.9,1,102730,3369.95,3346.05,3367,3352.75,3354.81,13312,17,3349.75,4,3349.9,94699,105373,/Date(1738901512000)/,-0.0850048438
B,C,532540,4031.5,2,2995,4091.9,4029.55,4060.15,4082.7,4042.45,13312,9,4029.55,8,4031.5,19874,22901,/Date(1738901512000)/,-1.25407207
N,C,1594,1898.25,1116,740184,1923.7,1895.95,1919.3,1915.65,1906.61,13312,1,1898.15,32,1898.35,137919,198619,/Date(1738901512000)/,-0.9083079
N,C,5900,1017.9,1,243832,1024.45,1014.55,1019.5,1020.7,1017.74,13312,219,1017.85,270,1017.9,275024,297629,/Date(1738901512000)/,-0.274321556
N,C,3045,744,1159,5502551,759.9,740.8,759.8,752.25,745.31,13313,126,743.75,4615,744,1021645,1381878,/Date(1738901513000)/,-1.09671
N,C,11536,4030.25,2346,249572,4090,4028.3,4090,4082.75,4049.25,13312,118,4030,28,4030.25,78401,91897,/Date(1738901512000)/,-1.285898
N,C,1333,1761.5,3297,2134809,1761.5,1746.75,1750,1743.85,1753.92,13313,18,1760.9,100,1761.15,249802,380728,/Date(1738901513000)/,1.01212835
N,C,1333,1761.05,3297,2134809,1761.5,1746.75,1750,1743.85,1753.92,13313,18,1760.9,100,1761.15,249802,380728,/Date(1738901513000)/,0.9863233
B,C,500696,2351.1,10,7021,2382.95,2350.15,2382.95,2373.5,2355.88,13312,5,2351,47,2352.3,27077,31044,/Date(1738901512000)/,-0.943753958
B,C,500112,744.1,1,248502,761.8,740.55,761.8,752.35,744.74,13313,86,743.75,280,744.1,183089,230625,/Date(1738901513000)/,-1.096564
N,C,11483,3350,972,103702,3369.95,3346.05,3367,3352.75,3354.77,13312,17,3349.75,100,3350,94603,105035,/Date(1738901512000)/,-0.08202222
N,C,1594,1898.15,2,740186,1923.7,1895.95,1919.3,1915.65,1906.61,13313,1,1898,183,1898.35,138400,199073,/Date(1738901513000)/,-0.9135281
N,C,5900,1017.85,9,243841,1024.45,1014.55,1019.5,1020.7,1017.74,13313,210,1017.85,270,1017.9,274931,297449,/Date(1738901513000)/,-0.279220134
N,C,3045,743.95,106,5502657,759.9,740.8,759.8,752.25,745.31,13314,7,743.9,184,743.95,1017795,1384463,/Date(1738901514000)/,-1.1033566
N,C,1333,1760.9,452,2135261,1761.5,1746.75,1750,1743.85,1753.92,13314,20,1760.9,550,1761.1,251337,382777,/Date(1738901514000)/,0.9777217
N,C,11483,3349.75,507,104209,3369.95,3346.05,3367,3352.75,3354.74,13314,65,3349.75,73,3350,94863,105073,/Date(1738901514000)/,-0.08947878
B,C,532174,1270.5,20,7571,1273.35,1268.25,1272.6,1272.65,1270.33,13314,16,1270.55,87,1271,75593,78267,/Date(1738901514000)/,-0.16893883
N,C,1594,1898.35,402,740588,1923.7,1895.95,1919.3,1915.65,1906.61,13314,400,1897.95,1,1898.4,138289,198269,/Date(1738901514000)/,-0.903087735
N,C,5900,1017.9,96,243937,1024.45,1014.55,1019.5,1020.7,1017.74,13314,210,1017.85,174,1017.9,275812,297516,/Date(1738901514000)/,-0.274321556
N,C,3045,743.9,44,5502701,759.9,740.8,759.8,752.25,745.31,13314,1,743.75,1,743.9,1025579,1385334,/Date(1738901514000)/,-1.11000335
B,C,500112,744.1,10,248512,761.8,740.55,761.8,752.35,744.74,13315,1,744,325,744.15,182479,230032,/Date(1738901515000)/,-1.096564
N,C,1333,1761.1,251,2135512,1761.5,1746.75,1750,1743.85,1753.92,13315,11,1760.9,385,1761.1,250576,382304,/Date(1738901515000)/,0.9891906
N,C,1594,1897.95,412,741000,1923.7,1895.95,1919.3,1915.65,1906.6,13314,106,1897.5,20,1897.95,136777,198836,/Date(1738901514000)/,-0.9239684
N,C,5900,1017.9,27,243964,1024.45,1014.55,1019.5,1020.7,1017.74,13315,210,1017.85,147,1017.9,275837,297489,/Date(1738901515000)/,-0.274321556
B,C,500510,3348.8,2,6097,3397.85,3346.7,3397.85,3352.9,3357.05,13315,17,3348.8,8,3350.6,21729,28939,/Date(1738901515000)/,-0.1222822
B,C,500112,744.1,10,248522,761.8,740.55,761.8,752.35,744.73,13315,1,744,315,744.15,182087,229905,/Date(1738901515000)/,-1.096564
N,C,3045,744,2348,5505049,759.9,740.8,759.8,752.25,745.31,13315,763,743.75,3301,744,1023346,1384879,/Date(1738901515000)/,-1.09671
B,C,500180,1761.4,2,36259,1761.4,1747.5,1750.55,1744.7,1754.78,13316,154,1760.75,61,1761.35,79983,101885,/Date(1738901516000)/,0.9571847
N,C,1333,1761.1,85,2135597,1761.5,1746.75,1750,1743.85,1753.92,13316,17,1761,301,1761.1,250435,380966,/Date(1738901516000)/,0.9891906
N,C,11483,3349.8,1171,105380,3369.95,3346.05,3367,3352.75,3354.69,13315,65,3349.75,122,3350,94875,105260,/Date(1738901515000)/,-0.0879874751
N,C,4963,1271.25,600,623218,1275,1268,1272,1272.4,1270.79,13316,283,1270.85,4,1271.25,277794,314968,/Date(1738901516000)/,-0.0903803855
N,C,1594,1897.5,78,741078,1923.7,1895.95,1919.3,1915.65,1906.6,13316,28,1897.5,94,1897.95,136756,199471,/Date(1738901516000)/,-0.947459042
N,C,3045,743.8,2867,5507916,759.9,740.8,759.8,752.25,745.31,13317,791,743.75,60,743.8,1025061,1385601,/Date(1738901517000)/,-1.12329674
B,C,500112,744.1,2,248524,761.8,740.55,761.8,752.35,744.73,13316,1,744,258,744.1,184381,236221,/Date(1738901516000)/,-1.096564
N,C,1333,1761.15,974,2136571,1761.5,1746.75,1750,1743.85,1753.92,13317,17,1761,111,1761.25,245640,384315,/Date(1738901517000)/,0.99205786
N,C,11483,3350,288,105668,3369.95,3346.05,3367,3352.75,3354.68,13317,76,3349.75,93,3350,95321,105251,/Date(1738901517000)/,-0.08202222
N,C,2885,1273.95,1138,1406154,1283.7,1269.4,1276.15,1281.55,1273.86,13316,7,1273.8,9,1273.95,347188,517741,/Date(1738901516000)/,-0.5930319
N,C,1594,1897.5,9,741087,1923.7,1895.95,1919.3,1915.65,1906.6,13317,19,1897.5,118,1897.95,136594,199237,/Date(1738901517000)/,-0.947459042
N,C,5900,1017.85,223,244187,1024.45,1014.55,1019.5,1020.7,1017.74,13317,87,1017.85,51,1017.9,275413,297844,/Date(1738901517000)/,-0.279220134
N,C,3045,743.9,1431,5509347,759.9,740.8,759.8,752.25,745.31,13318,20,743.9,539,743.95,1025055,1385240,/Date(1738901518000)/,-1.11000335
B,C,500180,1760.75,11,36270,1761.4,1747.5,1750.55,1744.7,1754.78,13317,143,1760.75,61,1761.3,79983,110732,/Date(1738901517000)/,0.919928968
N,C,1333,1760.85,750,2137321,1761.5,1746.75,1750,1743.85,1753.92,13318,261,1760.85,27,1761.05,250829,385792,/Date(1738901518000)/,0.974854469
N,C,1394,2351.2,17,103548,2381.95,2350,2380,2372.7,2355.95,13316,99,2351,33,2351.2,88027,71470,/Date(1738901516000)/,-0.906140745
B,C,500112,743.75,80,248604,761.8,740.55,761.8,752.35,744.73,13318,81,743.75,248,744.05,186313,231026,/Date(1738901518000)/,-1.143085
N,C,11483,3350,365,106033,3369.95,3346.05,3367,3352.75,3354.66,13318,76,3349.75,96,3350,93756,105302,/Date(1738901518000)/,-0.08202222
B,C,500180,1760.75,70,36340,1761.4,1747.5,1750.55,1744.7,1754.79,13318,73,1760.75,61,1761.3,79716,110835,/Date(1738901518000)/,0.919928968
N,C,1594,1897.5,19,741106,1923.7,1895.95,1919.3,1915.65,1906.6,13318,88,1897.4,3,1897.9,136267,199769,/Date(1738901518000)/,-0.947459042
N,C,5900,1017.65,110,244297,1024.45,1014.55,1019.5,1020.7,1017.74,13318,1,1017.65,98,1017.8,271262,300025,/Date(1738901518000)/,-0.298814535
N,C,3045,743.8,411,5509758,759.9,740.8,759.8,752.25,745.31,13319,402,743.75,28,743.8,1024671,1385908,/Date(1738901519000)/,-1.12329674
N,C,1333,1761.25,145,2137466,1761.5,1746.75,1750,1743.85,1753.93,13319,101,1761,407,1761.25,250579,389765,/Date(1738901519000)/,0.9977923
B,C,500325,1273.5,4,50683,1284.75,1266.45,1266.45,1281.55,1272.1,13318,15,1273.5,124,1274.05,131953,130360,/Date(1738901518000)/,-0.6281456
N,C,1594,1897.4,67,741173,1923.7,1895.95,1919.3,1915.65,1906.6,13319,21,1897.4,131,1897.95,136736,198637,/Date(1738901519000)/,-0.9526793
N,C,11536,4030.25,520,250092,4090,4028.3,4090,4082.75,4049.21,13320,4,4030,106,4030.25,78420,94105,/Date(1738901520000)/,-1.285898
N,C,3045,743.8,122,5509880,759.9,740.8,759.8,752.25,745.31,13320,401,743.75,25,743.8,1025304,1386492,/Date(1738901520000)/,-1.12329674
N,C,1333,1761.15,734,2138200,1761.5,1746.75,1750,1743.85,1753.93,13320,1,1761.05,228,1761.25,250314,389406,/Date(1738901520000)/,0.99205786
N,C,11483,3350,115,106148,3369.95,3346.05,3367,3352.75,3354.65,13320,76,3349.75,128,3350,95311,105181,/Date(1738901520000)/,-0.08202222
B,C,500325,1273.45,18,50701,1284.75,1266.45,1266.45,1281.55,1272.1,13320,50,1273.25,74,1273.95,136027,129461,/Date(1738901520000)/,-0.6320471
B,C,500696,2352.2,1,7022,2382.95,2350.15,2382.95,2373.5,2355.88,13320,5,2351,47,2352.15,27408,30654,/Date(1738901520000)/,-0.8974089
N,C,1594,1897.4,2,741175,1923.7,1895.95,1919.3,1915.65,1906.6,13320,19,1897.4,106,1897.95,136530,198688,/Date(1738901520000)/,-0.9526793
N,C,5900,1017.65,1,244298,1024.45,1014.55,1019.5,1020.7,1017.74,13320,2,1017.55,1,1017.65,273284,298456,/Date(1738901520000)/,-0.298814535
N,C,3045,743.75,618,5510498,759.9,740.8,759.8,752.25,745.3,13321,209,743.75,13,743.8,1024642,1387430,/Date(1738901521000)/,-1.12994349
N,C,1333,1760.9,326,2138526,1761.5,1746.75,1750,1743.85,1753.93,13321,121,1760.85,51,1760.9,250928,388978,/Date(1738901521000)/,0.9777217
N,C,2885,1273.8,2373,1408527,1283.7,1269.4,1276.15,1281.55,1273.86,13320,70,1273.5,49,1273.75,341192,520018,/Date(1738901520000)/,-0.604736447
N,C,4963,1270.85,690,623908,1275,1268,1272,1272.4,1270.79,13321,37,1270.8,1,1271.05,276039,315457,/Date(1738901521000)/,-0.121817037
B,C,500112,744,5,248609,761.8,740.55,761.8,752.35,744.73,13321,193,743.75,95,744,186845,232484,/Date(1738901521000)/,-1.10985577
B,C,500180,1760.75,5,36345,1761.4,1747.5,1750.55,1744.7,1754.79,13322,68,1760.75,37,1761.25,79361,112286,/Date(1738901522000)/,0.919928968
N,C,1594,1897.95,400,741575,1923.7,1895.95,1919.3,1915.65,1906.6,13321,19,1897.4,9,1897.95,136397,198588,/Date(1738901521000)/,-0.9239684
B,C,500112,744,25,248634,761.8,740.55,761.8,752.35,744.73,13322,260,743.75,70,744,186670,232437,/Date(1738901522000)/,-1.10985577
B,C,500696,2351,1,7023,2382.95,2350.15,2382.95,2373.5,2355.88,13322,4,2351,47,2352.15,27463,30683,/Date(1738901522000)/,-0.9479672
N,C,3045,743.95,628,5511126,759.9,740.8,759.8,752.25,745.3,13322,175,743.75,13,743.8,1024033,1387121,/Date(1738901522000)/,-1.1033566
N,C,1333,1761.1,104,2138630,1761.5,1746.75,1750,1743.85,1753.93,13322,15,1760.95,228,1761.3,250459,391746,/Date(1738901522000)/,0.9891906
N,C,2885,1273.75,43,1408570,1283.7,1269.4,1276.15,1281.55,1273.86,13322,109,1273.5,24,1273.75,343085,519389,/Date(1738901522000)/,-0.608638
N,C,4963,1270.8,215,624123,1275,1268,1272,1272.4,1270.79,13322,250,1271,1,1271.05,277100,317302,/Date(1738901522000)/,-0.125746608
N,C,1594,1897.95,10,741585,1923.7,1895.95,1919.3,1915.65,1906.6,13323,19,1897.4,15,1897.95,136503,199298,/Date(1738901523000)/,-0.9239684
N,C,3045,743.9,356,5511482,759.9,740.8,759.8,752.25,745.3,13323,395,743.8,47,743.9,1026118,1387413,/Date(1738901523000)/,-1.11000335
N,C,1333,1761.1,178,2138808,1761.5,1746.75,1750,1743.85,1753.93,13323,12,1760.85,32,1761.2,251740,394743,/Date(1738901523000)/,0.9891906
B,C,500112,744.1,158,248792,761.8,740.55,761.8,752.35,744.73,13323,227,743.75,247,744.1,185082,232147,/Date(1738901523000)/,-1.096564
N,C,2885,1273.75,8,1408578,1283.7,1269.4,1276.15,1281.55,1273.86,13323,54,1273.55,26,1273.75,343820,519565,/Date(1738901523000)/,-0.608638
N,C,4963,1271.25,250,624373,1275,1268,1272,1272.4,1270.79,13324,251,1271,50,1271.2,276858,317184,/Date(1738901524000)/,-0.0903803855
N,C,1594,1897.4,56,741641,1923.7,1895.95,1919.3,1915.65,1906.6,13323,72,1897.4,19,1897.95,136581,199307,/Date(1738901523000)/,-0.9526793
N,C,3045,743.85,165,5511647,759.9,740.8,759.8,752.25,745.3,13324,470,743.8,560,743.9,1026337,1387556,/Date(1738901524000)/,-1.1166501
N,C,1333,1760.9,74,2138882,1761.5,1746.75,1750,1743.85,1753.93,13324,18,1760.85,25,1760.95,252227,393620,/Date(1738901524000)/,0.9777217
N,C,1394,2351.1,164,103712,2381.95,2350,2380,2372.7,2355.94,13321,6,2351.1,1,2351.15,88277,71628,/Date(1738901521000)/,-0.9103553
