Exch,ExchType,Token,LastRate,LastQty,TotalQty,High,Low,OpenRate,PClose,AvgRate,Time,BidQty,BidRate,OffQty,OffRate,TBidQ,TOffQ,TickDt,ChgPcnt
B,C,500112,742,34,210039,761.8,740.55,761.8,752.35,744.98,12822,20,741.9,607,742.25,160721,238294,/Date(1738901022000)/,-1.37568951
B,C,500696,2353,4,5262,2382.95,2350.4,2382.95,2373.5,2357.43,12821,15,2352.15,102,2354.45,27219,30492,/Date(1738901021000)/,-0.8637034
N,C,11536,4033.9,13,218932,4090,4028.7,4090,4082.75,4051.85,12821,25,4033,6,4033.8,72537,86192,/Date(1738901021000)/,-1.19649744
N,C,1333,1755.4,1763,1732203,1757.5,1746.75,1750,1743.85,1752.74,12821,115,1755.35,413,1755.4,231903,390606,/Date(1738901021000)/,0.6623276
B,C,500180,1755,105,26427,1757.35,1747.5,1750.55,1744.7,1753.28,12822,4,1754.8,37,1755.5,72512,89330,/Date(1738901022000)/,0.5903594
N,C,1594,1901.5,363,481259,1923.7,1901.5,1919.3,1915.65,1910.58,12822,120,1901.5,221,1901.75,142241,183579,/Date(1738901022000)/,-0.738652647
N,C,11483,3356.9,42,64113,3369.95,3350.35,3367,3352.75,3357.43,12822,21,3356.4,13,3357.6,90637,94508,/Date(1738901022000)/,0.123778984
N,C,3045,741.9,369,4504963,759.9,740.8,759.8,752.25,745.73,12823,681,741.8,11,741.9,877871,1256543,/Date(1738901023000)/,-1.37587237
N,C,11536,4033.9,30,218962,4090,4028.7,4090,4082.75,4051.85,12823,25,4033,8,4033.9,72542,85406,/Date(1738901023000)/,-1.19649744
N,C,2885,1272.2,75,1234214,1283.7,1269.4,1276.15,1281.55,1273.9,12823,136,1272.05,39,1272.2,312506,513142,/Date(1738901023000)/,-0.72958523
N,C,1594,1901.5,71,481330,1923.7,1901.5,1919.3,1915.65,1910.58,12823,400,1901.65,221,1901.75,143058,184014,/Date(1738901023000)/,-0.738652647
N,C,11483,3356.4,2,64115,3369.95,3350.35,3367,3352.75,3357.43,12823,2,3356.4,7,3357.6,90786,94506,/Date(1738901023000)/,0.108865857
N,C,3045,741.8,4454,4509417,759.9,740.8,759.8,752.25,745.72,12824,387,741.8,325,741.95,881333,1257809,/Date(1738901024000)/,-1.38916588
N,C,5900,1017.3,63,188034,1024.45,1014.55,1019.5,1020.7,1017.64,12823,32,1017.25,21,1017.3,254767,303754,/Date(1738901023000)/,-0.33310473
B,C,500325,1272.35,7,46512,1284.75,1266.45,1266.45,1281.55,1271.96,12824,42,1271.7,128,1272.35,121745,122263,/Date(1738901024000)/,-0.717880666
N,C,11536,4033.9,5,218967,4090,4028.7,4090,4082.75,4051.85,12824,50,4033,4,4033.9,72538,85524,/Date(1738901024000)/,-1.19649744
B,C,500112,741.95,10,210049,761.8,740.55,761.8,752.35,744.98,12824,21,741.9,470,742.25,158884,239269,/Date(1738901024000)/,-1.38233542
B,C,500696,2354.05,2,5264,2382.95,2350.4,2382.95,2373.5,2357.43,12824,13,2352.05,44,2354,28565,30424,/Date(1738901024000)/,-0.819465
N,C,2885,1272.05,74,1234288,1283.7,1269.4,1276.15,1281.55,1273.9,12824,66,1272.05,35,1272.2,313396,513722,/Date(1738901024000)/,-0.741289854
N,C,1594,1901,22190,503520,1923.7,1901,1919.3,1915.65,1910.16,12824,398,1901.85,174,1902,135921,180901,/Date(1738901024000)/,-0.764753461
N,C,1594,1901.85,22190,503520,1923.7,1901,1919.3,1915.65,1910.16,12824,398,1901.85,174,1902,135921,180901,/Date(1738901024000)/,-0.7203821
N,C,11483,3356.4,8,64123,3369.95,3350.35,3367,3352.75,3357.43,12824,1,3356.4,7,3357.6,90776,94577,/Date(1738901024000)/,0.108865857
N,C,3045,741.95,102,4509519,759.9,740.8,759.8,752.25,745.72,12825,318,741.8,1044,741.95,882360,1257243,/Date(1738901025000)/,-1.36922574
B,C,500112,741.9,21,210070,761.8,740.55,761.8,752.35,744.98,12824,212,741.8,470,742.25,159396,239319,/Date(1738901024000)/,-1.38898122
N,C,11536,4032.15,83,219050,4090,4028.7,4090,4082.75,4051.84,12825,5,4032.05,20,4033,71552,85794,/Date(1738901025000)/,-1.23936069
B,C,500325,1272.35,1,46513,1284.75,1266.45,1266.45,1281.55,1271.96,12825,33,1271.7,130,1272.3,113992,119722,/Date(1738901025000)/,-0.717880666
B,C,500112,742.25,165,210235,761.8,740.55,761.8,752.35,744.98,12825,279,741.8,373,742.25,160203,239222,/Date(1738901025000)/,-1.34246027
N,C,2885,1272.2,5112,1239400,1283.7,1269.4,1276.15,1281.55,1273.89,12825,60,1272.05,4,1272.2,311996,514899,/Date(1738901025000)/,-0.72958523
N,C,1594,1901.85,399,503919,1923.7,1901,1919.3,1915.65,1910.16,12825,1504,1901.7,14,1901.75,138939,181203,/Date(1738901025000)/,-0.7203821
N,C,11483,3356.4,6,64129,3369.95,3350.35,3367,3352.75,3357.43,12825,1,3356.4,18,3357.6,90753,94776,/Date(1738901025000)/,0.108865857
B,C,532540,4033.15,1,2271,4091.9,4030,4060.15,4082.7,4046.05,12825,6,4032.05,26,4035.3,17263,22774,/Date(1738901025000)/,-1.21365762
N,C,3045,741.95,2074,4511593,759.9,740.8,759.8,752.25,745.72,12826,11,741.8,334,741.95,883491,1256781,/Date(1738901026000)/,-1.36922574
B,C,500209,1901.2,3,14773,1921,1880.2,1880.2,1915.95,1900.76,12826,60,1901.25,4,1902.15,43863,64036,/Date(1738901026000)/,-0.769853055
N,C,11536,4033,80,219130,4090,4028.7,4090,4082.75,4051.83,12826,9,4032.35,12,4033,71915,85758,/Date(1738901026000)/,-1.21854138
N,C,2885,1272.15,1131,1240531,1283.7,1269.4,1276.15,1281.55,1273.89,12827,29,1271.85,1,1272.1,312995,515127,/Date(1738901027000)/,-0.7334868
B,C,500112,741.75,271,210506,761.8,740.55,761.8,752.35,744.97,12827,4,741.7,394,742.1,162374,241894,/Date(1738901027000)/,-1.40891874
N,C,1594,1901.75,1934,505853,1923.7,1901,1919.3,1915.65,1910.13,12827,400,1901.45,143,1901.75,137329,182302,/Date(1738901027000)/,-0.725602269
N,C,11483,3356.15,80,64209,3369.95,3350.35,3367,3352.75,3357.43,12826,31,3356.15,11,3357.4,90617,94519,/Date(1738901026000)/,0.101409294
N,C,4963,1269.15,66,564366,1275,1268,1272,1272.4,1270.84,12825,199,1269.05,267,1269.4,254205,307372,/Date(1738901025000)/,-0.255422831
N,C,3045,741.8,834,4512427,759.9,740.8,759.8,752.25,745.72,12827,3000,741.7,21,741.8,881959,1258366,/Date(1738901027000)/,-1.38916588
B,C,500112,742,101,210607,761.8,740.55,761.8,752.35,744.97,12827,277,741.75,260,742.15,171022,241483,/Date(1738901027000)/,-1.37568951
N,C,11536,4032.15,81,219211,4090,4028.7,4090,4082.75,4051.83,12827,7,4032.15,12,4033,71968,85819,/Date(1738901027000)/,-1.23936069
N,C,2885,1272.25,156,1240687,1283.7,1269.4,1276.15,1281.55,1273.89,12828,72,1271.85,55,1272.15,312005,515318,/Date(1738901028000)/,-0.725683749
